# Example treeMappa CSV file representing living things
# Label, Order, Size, Colour, x, y, Level0, Level1, Level2 etc.
Amphibians,          1, 10, , , ,Life,Animalia
Arthropods,          2, 10, , , ,Life,Animalia
Birds,               3, 10, , , ,Life,Animalia
Insects,             4, 10, , , ,Life,Animalia
Mammals,             5, 10, , , ,Life,Animalia
Reptiles,            6, 10, , , ,Life,Animalia
Algae,               7, 10, , , ,Life,Vegetabilia
Ferns and\nHorsetails,8, 10, , , ,Life,Vegetabilia
Mosses,              9, 10, , , ,Life,Vegetabilia
Seed\nplants,        10, 10, , , ,Life,Vegetabilia
