#Label, Order, Size, Colour, leafX, leafY, Level0
Bromley,,,,542896,165656,London
Richmond\nupon\nThames,,,,517387,172878,London
Hillingdon,,,,507890,183653,London
Havering,,,,554005,187251,London
Kingston\nupon\nThames,,,,519297,166818,London
Sutton,,,,526976,164132,London
Hounslow,,,,513583,175658,London
Merton,,,,525475,169421,London
Wandsworth,,,,526129,174114,London
Croydon,,,,533290,163541,London
Lambeth,,,,530840,174437,London
Southwark,,,,533855,176787,London
Lewisham,,,,537667,174002,London
Greenwich,,,,542857,177052,London
Ealing,,,,515888,181715,London
Hammersmith\nand\nFulham,,,,523609,178841,London
Brent,,,,520177,185829,London
Harrow,,,,514987,190067,London
Barnet,,,,524027,192316,London
Islington,,,,531129,184978,London
Hackney,,,,534370,185486,London
Newham,,,,541444,182849,London
Barking\nand\nDagenham,,,,548021,184940,London
Haringey,,,,531199,189643,London
Enfield,,,,532423,196421,London
Waltham\nForest,,,,537758,190224,London
Redbridge,,,,543915,189463,London
Bexley,,,,548928,175721,London
Kensington\nand\nChelsea,,,,525575,179580,London
Westminster,,,,527746,180994,London
Camden,,,,527865,184663,London
Tower\nHamlets,,,,536468,181476,London
City of\nLondon,,,,532464,181220,London
