#Label, Order, Size, Colour, leafX, leafY,Level0,x0,y0
Chessington South,,,,517650,162340,Kingston\nupon\nThames,,
Tolworth and Hook Rise,,,,519120,165300,Kingston\nupon\nThames,,
Berrylands,,,,519110,167340,Kingston\nupon\nThames,,
Alexandra,,,,520120,166390,Kingston\nupon\nThames,,
Beverley,,,,521200,168520,Kingston\nupon\nThames,,
Coombe Hill,,,,520760,170620,Kingston\nupon\nThames,,
Chessington North and Hook,,,,518060,164590,Kingston\nupon\nThames,,
Surbiton Hill,,,,518300,166450,Kingston\nupon\nThames,,
Old Malden,,,,521490,166550,Kingston\nupon\nThames,,
St Mark's,,,,518250,167700,Kingston\nupon\nThames,,
Grove,,,,518350,168660,Kingston\nupon\nThames,,
Canbury,,,,518680,170030,Kingston\nupon\nThames,,
Norbiton,,,,519340,169010,Kingston\nupon\nThames,,
Coombe Vale,,,,520600,169230,Kingston\nupon\nThames,,
St James,,,,521400,167470,Kingston\nupon\nThames,,
Tudor,,,,518200,170920,Kingston\nupon\nThames,,
Coulsdon East,,,,530900,157880,Croydon,,
Selsdon and Ballards,,,,535140,162270,Croydon,,
Coulsdon West,,,,529530,159740,Croydon,,
Waddon,,,,531580,164130,Croydon,,
Kenley,,,,532210,159410,Croydon,,
Purley,,,,531280,161830,Croydon,,
Sanderstead,,,,533810,160870,Croydon,,
Heathfield,,,,536430,163800,Croydon,,
Fairfield,,,,533330,165280,Croydon,,
Broad Green,,,,531210,166200,Croydon,,
West Thornton,,,,530970,167580,Croydon,,
Bensham Manor,,,,531830,168150,Croydon,,
Norbury,,,,530920,169660,Croydon,,
New Addington,,,,538821,162069,Croydon,,
Croham,,,,533200,163520,Croydon,,
Fieldway,,,,538230,163418,Croydon,,
Shirley,,,,536630,165870,Croydon,,
Selhurst,,,,532830,167350,Croydon,,
Ashburton,,,,535220,166810,Croydon,,
Woodside,,,,534630,167820,Croydon,,
Thornton Heath,,,,532570,168870,Croydon,,
Upper Norwood,,,,532310,170110,Croydon,,
South Norwood,,,,533770,169130,Croydon,,
Addiscombe,,,,533600,166380,Croydon,,
Darwin,,,,543544,160631,Bromley,,
Hayes and Coney Hall,,,,540120,165330,Bromley,,
Bromley Common and Keston,,,,542140,165700,Bromley,,
Chelsfield and Pratts Bottom,,,,547250,163450,Bromley,,
Biggin Hill,,,,541239,159360,Bromley,,
West Wickham,,,,538490,166190,Bromley,,
Clock House,,,,535880,169130,Bromley,,
Kelsey and Eden Park,,,,537170,167910,Bromley,,
Farnborough and Crofton,,,,543990,164950,Bromley,,
Shortlands,,,,539226,168223,Bromley,,
Bromley Town,,,,540240,169110,Bromley,,
Bickley,,,,542440,168940,Bromley,,
Petts Wood and Knoll,,,,544730,167260,Bromley,,
Crystal Palace,,,,534498,170384,Bromley,,
Penge and Cator,,,,535820,170360,Bromley,,
Copers Cope,,,,537840,169950,Bromley,,
Plaistow and Sundridge,,,,540790,170690,Bromley,,
Chislehurst,,,,544350,170270,Bromley,,
Mottingham and Chislehurst North,,,,542129,172296,Bromley,,
Orpington,,,,546930,165700,Bromley,,
Cray Valley West,,,,546360,168910,Bromley,,
Cray Valley East,,,,548410,168000,Bromley,,
Bedfont,,,,508500,173530,Hounslow,,
Hanworth,,,,511910,171620,Hounslow,,
Cranford,,,,510880,176150,Hounslow,,
Syon,,,,516960,176900,Hounslow,,
Heston West,,,,511370,177780,Hounslow,,
Heston East,,,,513240,177350,Hounslow,,
Osterley and Spring Grove,,,,515050,177720,Hounslow,,
Brentford,,,,518000,178450,Hounslow,,
Chiswick Homefields,,,,521310,177550,Hounslow,,
Feltham West,,,,509350,172310,Hounslow,,
Hanworth Park,,,,511140,172480,Hounslow,,
Feltham North,,,,510510,174390,Hounslow,,
Hounslow Heath,,,,512560,174580,Hounslow,,
Hounslow West,,,,512410,175620,Hounslow,,
Heston Central,,,,512540,176790,Hounslow,,
Hounslow South,,,,514710,175070,Hounslow,,
Isleworth,,,,515990,175310,Hounslow,,
Hounslow Central,,,,514240,175950,Hounslow,,
Chiswick Riverside,,,,520190,177460,Hounslow,,
Turnham Green,,,,520160,178520,Hounslow,,
Norwood Green,,,,513860,179410,Ealing,,
Southall Green,,,,511850,179120,Ealing,,
Northolt West End,,,,511470,183380,Ealing,,
Dormers Wells,,,,513780,180930,Ealing,,
Greenford Broadway,,,,513620,182760,Ealing,,
North Greenford,,,,515680,184820,Ealing,,
Northfield,,,,517050,179070,Ealing,,
East Acton,,,,520780,181730,Ealing,,
Southall Broadway,,,,512280,180170,Ealing,,
Elthorne,,,,515730,179780,Ealing,,
Walpole,,,,517000,180000,Ealing,,
Lady Margaret,,,,513140,181720,Ealing,,
Northolt Mandeville,,,,513010,184550,Ealing,,
Hobbayne,,,,515220,181350,Ealing,,
Cleveland,,,,516460,181850,Ealing,,
Greenford Green,,,,514620,183890,Ealing,,
Perivale,,,,516380,183190,Ealing,,
Ealing Common,,,,518400,180040,Ealing,,
Ealing Broadway,,,,517390,181150,Ealing,,
South Acton,,,,519650,180040,Ealing,,
Southfield,,,,520760,179330,Ealing,,
Acton Central,,,,520090,180970,Ealing,,
Hanger Hill,,,,518520,182190,Ealing,,
Upminster,,,,557700,185380,Havering,,
Rainham and Wennington,,,,553300,181290,Havering,,
South Hornchurch,,,,551340,182770,Havering,,
Elm Park,,,,552460,184860,Havering,,
Brooklands,,,,550140,188220,Havering,,
Romford Town,,,,551760,188760,Havering,,
Mawneys,,,,549730,190280,Havering,,
Pettits,,,,551560,190450,Havering,,
Hacton,,,,553950,185840,Havering,,
St Andrew's,,,,553810,186880,Havering,,
Emerson Park,,,,554750,188610,Havering,,
Squirrel's Heath,,,,553390,189410,Havering,,
Harold Wood,,,,555720,190550,Havering,,
Cranham,,,,557050,188100,Havering,,
Havering Park,,,,550650,192700,Havering,,
Heaton,,,,553070,191850,Havering,,
Gooshays,,,,554580,193040,Havering,,
Hylands,,,,552470,187250,Havering,,
Heathrow Villages,,,,507130,176490,Hillingdon,,
Harefield,,,,505747,189899,Hillingdon,,
West Drayton,,,,506270,179300,Hillingdon,,
Yiewsley,,,,506530,180790,Hillingdon,,
Uxbridge South,,,,505210,182880,Hillingdon,,
Brunel,,,,506640,182140,Hillingdon,,
Uxbridge North,,,,506560,184240,Hillingdon,,
Hillingdon East,,,,508420,183780,Hillingdon,,
Ickenham,,,,506820,186230,Hillingdon,,
West Ruislip,,,,508330,188070,Hillingdon,,
Northwood,,,,508360,190820,Hillingdon,,
South Ruislip,,,,510420,185230,Hillingdon,,
Manor,,,,510030,186720,Hillingdon,,
Eastcote and East Ruislip,,,,510100,188340,Hillingdon,,
Northwood Hills,,,,510250,190080,Hillingdon,,
Pinkwell,,,,508840,178900,Hillingdon,,
Botwell,,,,508820,180430,Hillingdon,,
Charville,,,,509220,182660,Hillingdon,,
Townfield,,,,510450,180380,Hillingdon,,
Barnhill,,,,510600,181900,Hillingdon,,
Yeading,,,,511860,181710,Hillingdon,,
Cavendish,,,,511220,186940,Hillingdon,,
Roxeth,,,,513470,185790,Harrow,,
Harrow on the Hill,,,,515160,186800,Harrow,,
Pinner,,,,511640,190600,Harrow,,
Pinner South,,,,511980,188680,Harrow,,
Greenhill,,,,515670,188350,Harrow,,
Headstone North,,,,513420,189650,Harrow,,
Marlborough,,,,515470,189540,Harrow,,
Harrow Weald,,,,514550,191920,Harrow,,
Stanmore Park,,,,516080,192360,Harrow,,
Canons,,,,517390,192940,Harrow,,
Rayners Lane,,,,512650,187360,Harrow,,
Roxbourne,,,,513230,186510,Harrow,,
West Harrow,,,,513920,187830,Harrow,,
Hatch End,,,,512870,191400,Harrow,,
Headstone South,,,,514330,188830,Harrow,,
Kenton West,,,,516740,189330,Harrow,,
Wealdstone,,,,515270,190310,Harrow,,
Belmont,,,,517130,190860,Harrow,,
Kenton East,,,,518200,189330,Harrow,,
Queensbury,,,,519730,189580,Brent,,
Edgware,,,,519353,190722,Brent,,
Northwick Park,,,,516670,186910,Brent,,
Wembley Central,,,,518160,184830,Brent,,
Preston,,,,518130,186630,Brent,,
Stonebridge,,,,520290,183990,Brent,,
Welsh Harp,,,,520850,186740,Brent,,
Barnhill,,,,519340,187210,Brent,,
Fryent,,,,520300,188450,Brent,,
Sudbury,,,,516920,185490,Brent,,
Alperton,,,,518370,183780,Brent,,
Kensal Green,,,,522390,183260,Brent,,
Harlesden,,,,521410,183900,Brent,,
Willesden Green,,,,522490,184430,Brent,,
Queens Park,,,,523990,183320,Brent,,
Brondesbury Park,,,,523610,184170,Brent,,
